genome_id,genome_name,label_count,selection_rank
1280.26044,Staphylococcus aureus strain 1263-30,5,0b72aaf2f7f42a0ef3a01d2f272d6b8df99ccc2145d387923690667c5f24d298
1280.9912,Staphylococcus aureus C00008946,5,0b7e3a4178e5f2bb31e65ab979084af3470eb88d4fb23a5387319fc5652f67d9
1280.59487,Staphylococcus aureus CLSA83,5,0b92cf5745713dc0933266395aaddcd8804bd2440df9712bf18c488fba534073
1280.51895,Staphylococcus aureus 10-00777,5,0c156d4a9eb9a03ad7e29dad276adb063a0f9eac8881c6d218ccfc852af4c409
1280.9380,Staphylococcus aureus WAU_24,5,0c1a9b49de70844fbc3e7066ea141d541c0c6ece62fde2b7fcbecdbf62403c32
1280.8683,Staphylococcus aureus C00007099,5,0c234383c10162ae79996d165893860151f3fd932078a6b4a8b75d37821b518d
1280.51880,Staphylococcus aureus 06-01624,5,0c793b2cf723ecbcf4396a384c798c0360e0ea3973d1dd7bedc85aef535f2e04
1280.59812,Staphylococcus aureus CFSA.SA041,5,0c7f17f3e8fa1755c6ad6fb0af6443bf1fefae6fe007967304119258496a3f6a
1280.8762,Staphylococcus aureus C00007064,5,0cc1fe64a19f8d42ffc1287834e452641568d0211043e2c75cb811599b302490
1280.7445,Staphylococcus aureus C00007074,5,0cc488070e0bf2d7c02a25bf037f2449fa886f822a793c8dc73ba6aef396477f
1280.51754,Staphylococcus aureus 13-01337,5,0ccc27069521b26594e4adcad288c9a30bfd11edec4afd7aadf8591fe1bf75d6
1280.8101,Staphylococcus aureus C00012770,5,0cdc97d523e907cef1d44bbe12e953b4c57d5e3d01566fecf848342841fe14c9
1280.51836,Staphylococcus aureus 13-00373,5,0ce904fddd5559ddca7c874d87c4180c8b80271f1b0fbf7fb37ab962dd3aed1a
1280.51864,Staphylococcus aureus 12-03341,5,0d28e0ef34a925365cd4116a766ba5119b46e91a10f3bc35b0721c6f48f3ad41
1280.8070,Staphylococcus aureus C00012737,5,0d870c826dd1ad16f8ed33c5c76131de99da686aec93a72e52a7345805ea359d
1280.15893,Staphylococcus aureus strain N57_130515,5,0db55e47e771301a2bcaabc209c51c2f9ae14576055d23a6ca6d59db288213bf
1280.59494,Staphylococcus aureus CLSA77,5,0df34d95da227185599dc8af90fdc63ce04cffeedd2d8a991ace66568ff1afd4
1280.9929,Staphylococcus aureus C00012746,5,0e0f81f43665151e1ffa728e78b3f79f94aae0e24b2299265fb41adfbd4adfeb
1280.59264,Staphylococcus aureus CFSA15SA147,5,0e806d620a9825de2a15584c2a1710a9c0251367369fb956a45aefd47ae98d42
1280.26049,Staphylococcus aureus strain 1310-36,5,0e84cd11776237ca58f31279abbe57aa269677c334f4827bdd6ff041243c8f05
1280.59545,Staphylococcus aureus CLSA17,5,0ea725220f66dd982de672344dc1aa76758f3b37edb26e674b63f6a44ab7b6d7
1280.9195,Staphylococcus aureus 004_10,5,0eced113a5aa2c2d0f9beaed43758ca759693bb544a3bcca3e2bd4511454d395
1280.9935,Staphylococcus aureus C00012754,5,0f176e675cc4834ed024f7c9c7d8e955bc795af57a110b446485ff8e07671dd3
1280.59296,Staphylococcus aureus CFSA15SA110,5,0f44c621e167857c4245a4dd6fec3ed4112b4d682e502c3478d72be784515a63
1280.59414,Staphylococcus aureus CFSA14SA033,5,0f93bced4fc15b9f97e18042263de6538a1b653ed19e62d6fc8812c900708600
1280.51872,Staphylococcus aureus 14-02151,5,0fbaeee70e7ad595be5fca79150e6f53dccb0a153cf05fa1f9af4b3e34a4b932
1280.51901,Staphylococcus aureus 12-03872,5,0fc01f61aec8ff88e0a5bd6e0e62185df7fa421b6c90cbeee46eab7d10a72857
1280.9419,Staphylococcus aureus C00000836,5,0fff8afecafaeec43f34373434a0e83a16801ae3e9ff3259c7a2dd161cb8e671
1280.51820,Staphylococcus aureus 16-02597,5,1009e6af91d3d87f260aa3d0dfb329e9af17fdb3d3a2a2e6397628a233498aa7
1280.59686,Staphylococcus aureus CFSA16SA027,5,105272715a5e33e657b2018fc15e4499d8b643cb0ec75bfef883e9f7484d4c21
1280.9942,Staphylococcus aureus C00012782,5,10c6fa2ea379c16c3c6c8f50c3736939f613f15705c0f4ae176820ad90e5403d
1280.51790,Staphylococcus aureus 11-00260,5,11ce537b87233bad23d21b7c33333a91aaa81713cb5bcf482cb329f97956be6a
1280.51778,Staphylococcus aureus 15-00702,5,11d6d9c994123bd33089a9e73a67b13ff1e73a2280e4b6e1d6fac195fbad8186
1280.51867,Staphylococcus aureus 12-00014,5,11da78d9403d4a6bc7ef1e53457d5fb9b8e3a68e06f23dc6a613dcd0cb2b51bd
1280.59648,Staphylococcus aureus CFSA17SA004,5,11e91c77a7864701b8d2813d8175544a8319ea9bfd000912992ce043abd1e0da
1280.51776,Staphylococcus aureus 14-00561,5,11ecca09d1fa1bcff02df7c51c55e3988e46ecd8cba6e4b01f0bf53984821a61
1280.8840,Staphylococcus aureus TTSH3_07,5,1205277b1a0e472b525c608c5ec934e0290a8300ed4952bf4b16c9cb5c66e727
1280.9268,Staphylococcus aureus 142_07,5,125391c9e5ee85b0b1a3da29e41f5d945b931f2fb1ccf92dcdc9b9ec007a3bdd
1280.9322,Staphylococcus aureus CGH5_10,5,1262c3d71b10e5ff4f845586dd71851712c9aba6339ad785bb60e956f5f458e3
1280.59575,Staphylococcus aureus CFSA17SA083,5,126d8c8f1687090a3ee4c77eff3bbe88bd02607f6b9d412aaa68fc3f201d70c4
1280.59497,Staphylococcus aureus CLSA74,5,1277ed5deb18734756077d00823ab9bb6b9eac67669870fd70ea2a102f1c8896
1280.51845,Staphylococcus aureus 12-03081,5,129f08ce3ebd1abf9e03a50da03efa2fa25ec98b136582f3f5c3a5477053f23e
1280.7374,Staphylococcus aureus WAU_2,5,12b5db382e840f39f28dad6cd0ac85153ec97baff91cbb74f256a156171f7f01
1280.8737,Staphylococcus aureus C00000817,5,134ac4f6b5a4a1e26a674b541440ef7ddeb72a5372878da61235ce3e3627e1ae
1280.59432,Staphylococcus aureus CFSA14SA014,5,134df125ef7d224a5ad44224f1d3ffa539107f5e426073be2c4fc282c8b8288e
1280.59364,Staphylococcus aureus CFSA15SA039,5,1395b2690fbbe03a51c30cc6212fbcadb7071353a1e05ce71bfd79e5fe45dcee
1280.59527,Staphylococcus aureus CLSA37,5,13fb795588c7f97d02a86bf9a4e33a198e61fd34974138ce7f2410f4c61a6cca
1280.59378,Staphylococcus aureus CFSA15SA026,5,1411264f57f8e35b65161c92e6f8ea44fa38b17fb4f2c4eb1cb9f03278de8954
1280.59436,Staphylococcus aureus CFSA14SA012,5,141c793ad6a705496523f3f4990268fe54b64c7f88cf6cde67ae1b56145ace04
1280.59311,Staphylococcus aureus CFSA15SA095,5,14497d266f01386a4ee51aeb4e4476c609c9a06f58ed6825a426b1507eb7631c
1280.59559,Staphylococcus aureus CFSA17SA102,5,146008343fa32279cd680f7f2a04c55433744538881b6777dd357263aa96b9e4
1280.9914,Staphylococcus aureus C00008970,5,14650c281fea603fdaf82cd267ef28fa5a83a2aca42239d5369626d35339c66e
